GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0051864	0.000408148540218814	28.5190476190476	0.157169795851439	3	9	histone demethylase activity (H3-K36 specific)	Kdm4a;Kdm8;Riox2	0.0234420013491875
2	GO:0032452	0.000616894772347039	12.0523797532108	0.401656144953677	4	23	histone demethylase activity	Kdm4a;Kdm5b;Kdm8;Riox2	0.0234420013491875
3	GO:0140457	0.000616894772347039	12.0523797532108	0.401656144953677	4	23	protein demethylase activity	Kdm4a;Kdm5b;Kdm8;Riox2	0.0234420013491875
4	GO:0003676	0.00083160192129198	1.65729261246389	43.4137902762974	63	2486	nucleic acid binding	Ascc3;Cc2d1b;Cherp;Crebbp;Crlf3;Dclre1b;Dcp1a;Dcp1b;Ddx18;Ddx21;Ddx46;Ddx59;Dhx34;Dzip1l;Ewsr1;Gpatch8;Helq;Hemk1;Hinfp;Hnrnpm;Kdm5b;Kmt2b;Kmt2d;Mcm3ap;Mlxipl;Mov10;Mta2;Mtf2;Mus81;Mutyh;Nat10;Nop9;Nup98;Otx2;Pan2;Parp2;Polg2;Ptbp3;Rbck1;Rbm12b2;Rbm27;Rev1;Rfx1;Setd1b;Srbd1;Srsf5;Supt6;Taf4;Tet2;U2af2;Xrn2;Zc3h11a;Zc3h7a;Zfhx2;Zfp182;Zfp287;Zfp609;Zfp672;Zfp692;Zfp709;Zfp950;Zfp97;Zscan22	0.0237006547568214
5	GO:0004386	0.00171950674210629	3.8909612625538	2.2178404525703	8	127	helicase activity	Ascc3;Ddx18;Ddx21;Ddx46;Ddx59;Dhx34;Helq;Mov10	0.0321099582922294
6	GO:0032451	0.00196542268459054	8.47563352826511	0.541362630154956	4	31	demethylase activity	Kdm4a;Kdm5b;Kdm8;Riox2	0.0321099582922294
7	GO:0042393	0.00208061123752037	3.17666693585292	3.37041895548086	10	193	histone binding	Hinfp;Kdm4a;Kdm5b;Kdm8;Kmt2d;Mcm3ap;Mtf2;Ncapd3;Srcap;Supt6	0.0321099582922294
8	GO:0015491	0.00413897829771321	10.6857142857143	0.331802902353038	3	19	cation:cation antiporter activity	Slc11a1;Slc24a4;Slc9a5	0.0321099582922294
9	GO:0016407	0.00436390903591529	4.20714033227289	1.53677133721407	6	88	acetyltransferase activity	Crat;Crebbp;Mcm3ap;Naa40;Nat10;Ogt	0.0321099582922294
10	GO:0016706	0.00460884760832557	6.53397129186603	0.681069115356235	4	39	2-oxoglutarate-dependent dioxygenase activity	Kdm4a;Kdm8;Riox2;Tet2	0.0321099582922294
