GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005201	2.31497433172586e-08	5.1188103148236	4.47988077496274	20	167	extracellular matrix structural constituent	ABI3BP;CD4;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;DCN;ELN;FBLN1;FGL2;FMOD;FN1;IMPG1;MATN2;MGP;MUC3A;NID1;OGN;PCOLCE	2.30339946006723e-05
2	GO:0003779	1.57019065590646e-06	2.87319624819625	11.4277198211624	30	426	actin binding	ABLIM3;ACTN2;ANLN;CEACAM1;CORO6;DST;EPB41;EPS8;INF2;LDB3;LIMCH1;LRRK2;MTSS2;MYH10;MYH14;MYO1B;MYO1D;MYO3B;NEXN;NOS3;PARVB;PLS1;PPP1R9A;SORBS1;SYNE1;SYNPO2;TAGLN;TLNRD1;TMOD1;VASP	0.000781169851313464
3	GO:0019838	1.04669077743302e-05	4.48683169882948	3.48733233979136	14	130	growth factor binding	ACVR1C;CCN2;COL1A1;COL1A2;COL3A1;COL4A1;FGFR3;FGFRL1;HTRA1;IGFBP2;ITGA6;ITGB4;KDR;NRP2	0.00347152441181952
4	GO:0005518	1.641460730583e-05	6.16098484848485	1.87779433681073	10	70	collagen binding	ABI3BP;COCH;DCN;FN1;ITGA11;MUSK;NID1;PCOLCE;SERPINH1;SMAD4	0.00408313356732521
5	GO:0008494	2.22638886999131e-05	20.3695380774032	0.375558867362146	5	14	translation activator activity	DAZL;DAZ4;DAZ3;DAZ1;DAZ2	0.00428521684825408
6	GO:0005516	2.71378128770625e-05	3.4823617491054	5.33830104321908	17	199	calmodulin binding	ARPP21;ATP2B1;CAMK4;CEACAM1;EPB41;MYH10;MYH14;MYO1B;MYO1D;NOS3;PDE1B;PHKB;RGS2;RGS4;RYR1;RYR3;STRN	0.00428521684825408
7	GO:0042802	3.01472542088227e-05	1.72639943074004	49.5201192250373	78	1846	identical protein binding	ACTN2;ACY1;ADORA2A;AIM2;APCDD1;BTBD3;CBS;CCDC88C;CD4;CEACAM1;CEACAM5;CEACAM6;CERCAM;CLDN5;CNTN2;COL1A1;COL1A2;CPQ;CTSC;DAZL;DRD2;EPHX2;FBLN1;FGFR3;FGFRL1;FN1;FOXP1;FYN;FZD9;GIPC2;GJB2;GPR139;H2BC8;HEXIM1;HEYL;HSPB1;HTRA1;IKZF3;INHBA;KCTD17;KDR;KIRREL2;KMT2A;LRRK2;MAPK4;MICU1;MME;MTCL1;NBL1;NOTCH1;NRBP1;OLFML2A;OPLAH;PPP1R9A;QDPR;ROBO2;SAT1;SH3BP4;SLC16A1;SLC22A6;SLC31A1;SLC4A4;SLC8B1;SMAD4;SMPD3;SOX13;ST8SIA3;STK26;SUN2;SYNE1;TENM3;TGFB2;TLNRD1;TMEM192;TRAF3;TRAF4;TRAIP;YWHAG	0.00428521684825408
8	GO:0044877	6.44071827798574e-05	1.84773612463486	32.1639344262295	55	1199	protein-containing complex binding	ABI3BP;ABLIM3;ACTN2;ADAM23;ADORA2A;ATR;BMP2K;C4A;CCN2;CCND1;CD4;CLSPN;COCH;COL3A1;COLEC12;CORO6;DCN;DRD2;DST;EPB41;FBLN1;FN1;FYN;H1-2;H1-4;INHBA;ITGA11;ITGA6;ITGB4;KDR;LRRK2;MMP14;MUSK;MYH10;MYH14;MYO1B;MYO1D;NEXN;NID1;PCOLCE;PCSK2;PCSK9;PLS1;PPP1R9A;RANBP2;RARB;SERPINH1;SMAD4;SORBS1;STRN;SYNE1;TAGLN;THBS4;TMOD1;VCAM1	0.00801064335824476
9	GO:0015318	0.000138796465360872	1.99847109883606	20.8971684053651	39	779	inorganic molecular entity transmembrane transporter activity	ANO3;ATP1A2;ATP2B1;ATP8A1;CACHD1;CACNA1I;CACNA2D3;CEACAM1;CNGA3;GABRD;HTR1B;ITPR1;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;RYR1;RYR3;SCN4B;SLC13A4;SLC16A1;SLC22A6;SLC22A8;SLC24A3;SLC31A1;SLC38A2;SLC38A3;SLC38A9;SLC4A4;SLC6A13;SLC6A20;SLC7A10;SLC8B1;SLCO1A2;SLCO1C1;STRA6;TMEM63A;TRPM3	0.0144438573970571
10	GO:0048407	0.000145164395950322	20.9071108263933	0.295081967213115	4	11	platelet-derived growth factor binding	COL1A1;COL1A2;COL3A1;COL4A1	0.0144438573970571
