GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0007263	0.000613080190730746	21.1522491349481	0.170068027210884	3	20	nitric oxide mediated signal transduction	Gucy1a1;Mafa;Pde2a	0.0395948296120236
2	GO:0036005	0.000704372753977977	79.2233009708738	0.0425170068027211	2	5	response to macrophage colony-stimulating factor	Csf1r;Pde2a	0.0395948296120236
3	GO:0036006	0.000704372753977977	79.2233009708738	0.0425170068027211	2	5	cellular response to macrophage colony-stimulating factor stimulus	Csf1r;Pde2a	0.0395948296120236
4	GO:0030029	0.000782493395959613	2.93899204244032	5.29761904761905	14	623	actin filament-based process	Abitram;Arhgef15;Cd47;Cdc42ep3;Csf1r;Epb41l2;Pde4b;Phactr1;Plek;Pmp22;Rac2;Scn2b;Setd3;Tnik	0.0395948296120236
5	GO:0043949	0.000907538394922105	10.2768064040447	0.433673469387755	4	51	regulation of cAMP-mediated signaling	Aplp1;Ece1;Pde2a;Pde4b	0.0395948296120236
6	GO:0007186	0.00103500340329939	3.31047032474804	3.64795918367347	11	429	G protein-coupled receptor signaling pathway	Aplp1;Ece1;Gabbr1;Gnb4;Olfr287;Pde2a;Pde4b;Plek;Prkacb;Rac2;Rgs20	0.0395948296120236
7	GO:0043951	0.00106193029610791	17.1176470588235	0.204081632653061	3	24	negative regulation of cAMP-mediated signaling	Aplp1;Pde2a;Pde4b	0.0395948296120236
8	GO:0018026	0.00193960171942729	39.6019417475728	0.0680272108843537	2	8	peptidyl-lysine monomethylation	Setd2;Setd3	0.0437631820596658
9	GO:0120031	0.00204320769646324	3.21622354856213	3.3843537414966	10	398	plasma membrane bounded cell projection assembly	Abitram;Bbip1;Cdc42ep3;Cdh13;Drc1;Klf5;Lrrc49;Pmp22;Rac2;Tnik	0.0437631820596658
10	GO:0010749	0.0024799569720372	33.9417475728155	0.076530612244898	2	9	regulation of nitric oxide mediated signal transduction	Gucy1a1;Pde2a	0.0437631820596658
11	GO:0106072	0.0024799569720372	33.9417475728155	0.076530612244898	2	9	negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	Aplp1;Pde4b	0.0437631820596658
12	GO:0030031	0.00249185939202332	3.12465373961219	3.47789115646259	10	409	cell projection assembly	Abitram;Bbip1;Cdc42ep3;Cdh13;Drc1;Klf5;Lrrc49;Pmp22;Rac2;Tnik	0.0437631820596658
13	GO:0030036	0.0025274259784905	2.79100828811639	4.70238095238095	12	553	actin cytoskeleton organization	Abitram;Arhgef15;Cd47;Cdc42ep3;Csf1r;Epb41l2;Phactr1;Plek;Pmp22;Rac2;Setd3;Tnik	0.0437631820596658
14	GO:0019932	0.00258353746447698	3.6434739605128	2.37244897959184	8	279	second-messenger-mediated signaling	Aplp1;Cdh13;Ece1;Gucy1a1;Mafa;Pde2a;Pde4b;Rcan2	0.0437631820596658
15	GO:0010452	0.00308278217908817	29.6966019417476	0.0850340136054422	2	10	histone H3-K36 methylation	Setd2;Setd3	0.0437631820596658
16	GO:0046068	0.00374699629701369	26.3948220064725	0.0935374149659864	2	11	cGMP metabolic process	Gucy1a1;Pde2a	0.0437631820596658
17	GO:0007614	0.00447153184622102	23.7533980582524	0.102040816326531	2	12	short-term memory	Ptchd1;Rcan2	0.0437631820596658
18	GO:0106070	0.00447153184622102	23.7533980582524	0.102040816326531	2	12	regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	Aplp1;Pde4b	0.0437631820596658
19	GO:0007188	0.0045254734636491	4.96762295081967	1.07993197278912	5	127	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	Aplp1;Gabbr1;Pde2a;Pde4b;Prkacb	0.0437631820596658
20	GO:0007187	0.00585174755987858	4.65884615384615	1.14795918367347	5	135	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	Aplp1;Gabbr1;Pde2a;Pde4b;Prkacb	0.0437631820596658
21	GO:0030033	0.00609736424791441	19.7912621359223	0.119047619047619	2	14	microvillus assembly	Klf5;Tnik	0.0437631820596658
22	GO:0031532	0.00666521729824822	5.73267326732673	0.748299319727891	4	88	actin cytoskeleton reorganization	Csf1r;Phactr1;Plek;Tnik	0.0437631820596658
23	GO:0032970	0.00731021794522958	3.03398243604429	2.82312925170068	8	332	regulation of actin filament-based process	Abitram;Arhgef15;Cd47;Cdc42ep3;Csf1r;Pde4b;Plek;Rac2	0.0437631820596658
24	GO:0050900	0.00785492383032921	3.68686868686869	1.73469387755102	6	204	leukocyte migration	Cd47;Csf1r;Dock8;Pde4b;Rac2;Selplg	0.0437631820596658
25	GO:0045744	0.00829066526275724	7.79859335038363	0.416666666666667	3	49	negative regulation of G protein-coupled receptor signaling pathway	Aplp1;Pde4b;Plek	0.0437631820596658
26	GO:0007527	0.00850340136054417	Inf	0.00850340136054422	1	1	adult somatic muscle development	Utrn	0.0437631820596658
27	GO:0007576	0.00850340136054417	Inf	0.00850340136054422	1	1	nucleolar fragmentation	Zfp354a	0.0437631820596658
28	GO:0010814	0.00850340136054417	Inf	0.00850340136054422	1	1	substance P catabolic process	Ece1	0.0437631820596658
